Datetime,Water Level (m)
2023-09-02 00:00:00,1.0483862
2023-09-02 01:00:00,0.48464432
2023-09-02 02:00:00,-0.077397294
2023-09-02 03:00:00,-0.58836454
2023-09-02 04:00:00,-0.73959076
2023-09-02 05:00:00,-0.12050645
2023-09-02 06:00:00,0.46298993
2023-09-02 07:00:00,1.0870472
2023-09-02 08:00:00,1.7144017
2023-09-02 09:00:00,2.1296883
2023-09-02 10:00:00,2.2817447
2023-09-02 11:00:00,1.992907
2023-09-02 12:00:00,1.4742886
2023-09-02 13:00:00,0.86686367
2023-09-02 14:00:00,0.26652262
2023-09-02 15:00:00,-0.3058298
2023-09-02 16:00:00,-0.7117777
2023-09-02 17:00:00,-0.29586172
2023-09-02 18:00:00,0.28090823
2023-09-02 19:00:00,0.840511
2023-09-02 20:00:00,1.4614978
2023-09-02 21:00:00,1.9694455
2023-09-02 22:00:00,2.2539399
2023-09-02 23:00:00,2.119135
2023-09-03 00:00:00,1.6790248
2023-09-03 01:00:00,1.0852137
2023-09-03 02:00:00,0.49258354
2023-09-03 03:00:00,-0.08307999
2023-09-03 04:00:00,-0.568483
2023-09-03 05:00:00,-0.45077607
2023-09-03 06:00:00,0.17447005
2023-09-03 07:00:00,0.711999
2023-09-03 08:00:00,1.3298761
2023-09-03 09:00:00,1.8868654
2023-09-03 10:00:00,2.2423184
2023-09-03 11:00:00,2.237568
2023-09-03 12:00:00,1.8703578
2023-09-03 13:00:00,1.3142767
2023-09-03 14:00:00,0.7018873
2023-09-03 15:00:00,0.1288914
2023-09-03 16:00:00,-0.39245012
2023-09-03 17:00:00,-0.5644625
2023-09-03 18:00:00,-0.022614587
2023-09-03 19:00:00,0.47956148
2023-09-03 20:00:00,1.0613438
2023-09-03 21:00:00,1.655968
2023-09-03 22:00:00,2.0998755
2023-09-03 23:00:00,2.2555292
2023-09-04 00:00:00,2.0192842
2023-09-04 01:00:00,1.5179428
2023-09-04 02:00:00,0.9292575
2023-09-04 03:00:00,0.3553413
2023-09-04 04:00:00,-0.19052003
2023-09-04 05:00:00,-0.5413548
2023-09-04 06:00:00,-0.19062705
2023-09-04 07:00:00,0.305366
2023-09-04 08:00:00,0.83079433
2023-09-04 09:00:00,1.4017107
2023-09-04 10:00:00,1.8602622
2023-09-04 11:00:00,2.1058495
2023-09-04 12:00:00,1.9765688
2023-09-04 13:00:00,1.5583625
2023-09-04 14:00:00,1.0012418
2023-09-04 15:00:00,0.43536547
2023-09-04 16:00:00,-0.105631635
2023-09-04 17:00:00,-0.52923495
2023-09-04 18:00:00,-0.40583184
2023-09-04 19:00:00,0.13450389
2023-09-04 20:00:00,0.62100285
2023-09-04 21:00:00,1.1895758
2023-09-04 22:00:00,1.7123024
2023-09-04 23:00:00,2.060375
2023-09-05 00:00:00,2.088215
2023-09-05 01:00:00,1.7809253
2023-09-05 02:00:00,1.2689741
2023-09-05 03:00:00,0.6967366
2023-09-05 04:00:00,0.1806899
2023-09-05 05:00:00,-0.3021211
2023-09-05 06:00:00,-0.46327263
2023-09-05 07:00:00,-0.053569905
2023-09-05 08:00:00,0.36856318
2023-09-05 09:00:00,0.8618879
2023-09-05 10:00:00,1.3690826
2023-09-05 11:00:00,1.7505789
2023-09-05 12:00:00,1.8796688
2023-09-05 13:00:00,1.6740804
2023-09-05 14:00:00,1.2318442
2023-09-05 15:00:00,0.69909394
2023-09-05 16:00:00,0.21281582
2023-09-05 17:00:00,-0.26611012
2023-09-05 18:00:00,-0.4862152
2023-09-05 19:00:00,-0.15923402
2023-09-05 20:00:00,0.2652026
2023-09-05 21:00:00,0.7485568
2023-09-05 22:00:00,1.2816926
2023-09-05 23:00:00,1.730052
2023-09-06 00:00:00,1.9875509
2023-09-06 01:00:00,1.941318
2023-09-06 02:00:00,1.5984695
2023-09-06 03:00:00,1.1135361
2023-09-06 04:00:00,0.58679324
2023-09-06 05:00:00,0.14039879
2023-09-06 06:00:00,-0.24157436
2023-09-06 07:00:00,-0.25493145
2023-09-06 08:00:00,0.093773656
2023-09-06 09:00:00,0.44392374
2023-09-06 10:00:00,0.8950987
2023-09-06 11:00:00,1.3407251
2023-09-06 12:00:00,1.6271341
2023-09-06 13:00:00,1.673241
2023-09-06 14:00:00,1.4333134
2023-09-06 15:00:00,1.014133
2023-09-06 16:00:00,0.53990424
2023-09-06 17:00:00,0.12094855
2023-09-06 18:00:00,-0.25564224
2023-09-06 19:00:00,-0.3296633
2023-09-06 20:00:00,-0.025097799
2023-09-06 21:00:00,0.31416988
2023-09-06 22:00:00,0.76377535
2023-09-06 23:00:00,1.2314824
2023-09-07 00:00:00,1.6011283
2023-09-07 01:00:00,1.790366
2023-09-07 02:00:00,1.719111
2023-09-07 03:00:00,1.3947835
2023-09-07 04:00:00,0.9614681
2023-09-07 05:00:00,0.50991076
2023-09-07 06:00:00,0.12067797
2023-09-07 07:00:00,-0.14874426
2023-09-07 08:00:00,-0.15752432
2023-09-07 09:00:00,0.085162215
2023-09-07 10:00:00,0.36111242
2023-09-07 11:00:00,0.73907596
2023-09-07 12:00:00,1.1017803
2023-09-07 13:00:00,1.3342153
2023-09-07 14:00:00,1.3782531
2023-09-07 15:00:00,1.19656
2023-09-07 16:00:00,0.8586044
2023-09-07 17:00:00,0.4611657
2023-09-07 18:00:00,0.09761799
2023-09-07 19:00:00,-0.17719467
2023-09-07 20:00:00,-0.22681274
2023-09-07 21:00:00,-0.011701056
2023-09-07 22:00:00,0.25729868
2023-09-07 23:00:00,0.63459474
2023-09-08 00:00:00,1.0449876
